Batch,Total,Techniques,Workplace,Garage,Kitchen,Hall
193,8.531433333,0.400966667,2.563283333,1.436833333,0.26015,3.8702
194,6.649283333,0.394983333,1.29605,1.316633333,0.260966667,3.38065
195,3.622416666,0.578283333,0.88115,0.93815,0.25695,0.967883333
196,3.550883333,0.6243,0.870233333,0.833933333,0.253766667,0.96865
197,3.359683333,0.836433333,0.9832,0.31685,0.25325,0.96995
198,4.1934,0.81695,1.157766667,0.3135,0.25695,1.648233333
199,6.385866667,0.795916667,1.297166667,0.31395,0.43045,3.548383333
200,6.575366668,0.795116667,1.4334,0.393316667,0.414766667,3.538766667
201,4.387249999,0.856283333,1.456483333,0.380233333,0.41265,1.2816
202,4.152100001,0.964266667,1.199366667,0.480266667,0.407633333,1.100566667
203,5.060900001,1.3912,0.8689,0.803366667,0.407166667,1.590266667
204,7.490533333,1.524383333,0.996483333,0.930616667,0.543533333,3.495516667
205,8.684833332,1.524333333,1.3547,1.392983333,0.823933333,3.588883333
206,9.252616667,1.531166667,1.5919,1.390633333,1.121016667,3.6179
207,8.039216666,1.462716667,1.566983333,1.031133333,1.09665,2.881733333
208,5.787833333,1.407533333,1.5298,0.9721,1.019533333,0.858866667
209,7.426366666,0.906033333,1.431,0.92505,0.764533333,3.39975
210,6.831733333,0.8744,1.1442,0.503566667,0.396133333,3.913433333
211,6.57525,0.833916667,0.9527,0.354416667,0.395183333,4.039033333
212,4.719716666,0.7824,1.08515,0.407233333,0.3926,2.052333333
213,5.498083333,0.78235,0.870333333,0.4066,0.389666667,3.049133333
214,7.527516667,0.7877,0.9283,0.42065,0.39205,4.998816667
215,9.214583333,0.778933333,2.63395,0.781283333,0.391966667,4.62845
216,6.485316667,0.78155,2.308583333,0.784366667,0.385966667,2.22485
217,4.878850001,0.846183333,1.303266667,0.831716667,0.374016667,1.523666667
218,5.521,0.952133333,0.991366667,0.961316667,0.364633333,2.25155
219,7.316733333,1.001183333,0.852516667,1.030633333,0.349433333,4.082966667
220,7.3763,1.106666667,0.831266667,1.028333333,0.3666,4.043433333
221,5.991233332,1.596933333,0.826333333,0.972883333,0.374283333,2.2208
222,5.892016667,1.691383333,1.083283333,0.989666667,0.376666667,1.751016667
223,6.059200001,1.680916667,1.228866667,0.470833333,0.504866667,2.173716667
224,9.932966666,1.644783333,2.242633333,0.4102,0.791666667,4.843683333
225,12.46398333,1.54415,4.553516667,0.561033333,1.091633333,4.71365
226,11.6884,1.239466667,4.888216667,0.7778,1.086466667,3.69645
227,10.27908333,0.913333333,4.838633333,0.77655,1.021383333,2.729183333
228,10.4198,0.910966667,5.423316667,0.773833333,0.993533333,2.31815
229,12.47351667,0.908183333,5.27595,0.876333333,0.43395,4.9791
230,11.67891667,0.9076,5.39405,0.9799,0.388333333,4.009033333
231,9.929933334,0.907366667,4.716283333,1.4675,0.315416667,2.523366667
232,8.455266667,0.907916667,4.268616667,1.149566667,0.947433333,1.181733333
233,8.589266667,0.905,4.0787,1.12075,1.3962,1.088616667
234,8.152900001,0.90525,3.649366667,1.057366667,1.4498,1.091116667
235,8.271383333,0.90375,3.805483333,1.044116667,1.21135,1.306683333
236,7.67125,0.9048,3.641516667,0.587283333,1.271283333,1.266366667
237,6.250983333,0.905016667,2.0612,0.801133333,1.249283333,1.23435
238,4.866366666,0.9038,0.7823,0.853383333,1.250133333,1.07675
239,4.746666667,0.965116667,0.77735,0.85335,1.328033333,0.822816667
240,6.0626,0.956766667,0.784383333,0.84905,2.653433333,0.818966667
241,6.681766666,0.940616667,2.01095,0.811383333,1.641133333,1.277683333
242,7.217516666,0.588783333,2.8532,0.723833333,1.947983333,1.103716667
243,7.353816667,0.6731,3.019566667,0.73815,1.59095,1.33205
244,8.7636,0.80995,4.281116667,0.681033333,1.568116667,1.423383333
245,9.599433333,1.28035,4.46935,1.0349,1.330483333,1.48435
246,10.32966667,1.2787,4.32965,1.030166667,1.24775,2.4434
247,10.85425,1.155933333,5.01355,1.02875,1.248333333,2.407683333
248,9.647133334,0.921866667,4.00905,0.9531,1.394816667,2.3683
249,6.848516666,0.452683333,1.85105,0.9475,1.2459,2.351383333
250,5.87845,0.4272,1.64685,0.403383333,1.2092,2.191816667
251,5.815433334,0.467016667,1.205316667,0.4712,1.68785,1.98405
252,4.59905,0.455083333,0.9042,0.552283333,1.209966667,1.477516667
253,4.478783334,0.4309,0.822466667,0.562,1.207366667,1.45605
254,5.202349999,0.765533333,0.831583333,0.8633,1.200233333,1.5417
255,5.361033334,0.714716667,0.852466667,0.89945,1.1923,1.7021
256,5.59535,0.5928,0.82535,0.8424,1.196633333,2.138166667
257,4.752783333,0.305833333,0.831683333,0.4899,1.1526,1.972766667
258,6.541766667,0.304033333,2.3629,0.6473,1.161166667,2.066366667
259,7.682166667,0.303583333,3.791416667,1.034266667,0.543816667,2.009083333
260,8.599616666,0.30335,4.422883333,1.190466667,0.597483333,2.085433333
261,8.442983333,0.304083333,4.073616667,1.193883333,0.53265,2.33875
262,9.1171,0.304816667,4.146633333,1.2888,1.265083333,2.111766667
263,5.397350001,0.382966667,1.148166667,1.437183333,0.561466667,1.867566667
264,5.932283334,0.47145,1.525916667,1.4521,0.6485,1.834316667
265,6.325499999,0.738883333,1.734383333,0.9298,1.1225,1.799933333
266,8.000216666,1.5948,2.836533333,0.925233333,1.205,1.43865
267,6.936216667,1.618166667,1.969733333,0.88295,1.25565,1.209716667
268,5.955533333,1.37305,1.359633333,0.825883333,1.202216667,1.19475
269,7.3894,1.2517,3.286,0.46525,1.202833333,1.183616667
270,6.857133334,0.324166667,3.2854,0.4622,1.24345,1.541916667
271,6.623433334,0.305366667,3.1059,0.463316667,1.18195,1.5669
272,6.677633334,0.305516667,3.184633333,0.515066667,1.110366667,1.56205
273,6.183716667,0.304466667,2.753716667,0.613116667,0.851233333,1.661183333
274,6.401049999,0.304933333,2.648233333,1.215,0.498433333,1.73445
275,6.769316666,0.3049,2.485083333,1.27125,0.493933333,2.21415
276,6.420166667,0.373916667,2.63085,1.24425,0.485733333,1.685416667
277,5.533666666,0.348683333,1.511433333,1.6132,0.474183333,1.586166667
278,5.7874,0.4036,1.564216667,1.52545,0.51025,1.783883333
279,5.55405,0.582433333,1.309016667,1.31555,0.642316667,1.704733333
280,6.069083334,0.76795,1.434466667,0.867266667,1.14195,1.85745
281,5.24525,0.72395,1.099216667,0.5,1.466683333,1.4554
282,4.991766665,0.660783333,0.854233333,0.461883333,1.586983333,1.427883333
283,4.723483334,0.344016667,0.86955,0.459683333,1.742366667,1.307866667
284,4.892166667,0.479716667,0.8653,0.5407,1.698883333,1.307566667
285,5.240633333,0.7863,0.861283333,0.6287,1.65715,1.3072
286,5.900683333,1.070666667,0.8774,1.21665,1.404733333,1.331233333
287,5.514366666,1.027233333,0.86955,1.19365,0.9322,1.491733333
288,5.248283334,0.919716667,0.950816667,1.1377,0.580416667,1.659633333
289,5.2517,0.6415,0.92295,1.269933333,0.511966667,1.90535
290,5.085699999,0.305633333,0.9006,1.462433333,0.524933333,1.8921
291,5.835433334,0.38205,1.277566667,1.443566667,0.978966667,1.753283333
292,7.61815,0.348133333,1.4324,1.413866667,1.896533333,2.527216667
293,7.591133333,0.405833333,1.853266667,1.15865,1.2838,2.889583333
294,4.992716667,0.649016667,1.90885,1.00365,0.527916667,0.903283333
295,4.562466666,0.766933333,1.48975,1.089116667,0.487633333,0.729033333
296,4.655083333,0.788283333,1.42135,1.089566667,0.6326,0.723283333
297,4.724016666,0.888083333,1.030283333,1.052316667,0.69065,1.062683333
298,5.17405,0.7441,0.8401,1.098366667,1.378183333,1.1133
299,5.2776,0.460766667,1.01355,1.134633333,1.370566667,1.298083333
300,5.982999999,0.459583333,0.879566667,1.442983333,1.512733333,1.688133333
301,6.371066666,0.494116667,0.945383333,1.444183333,1.84715,1.640233333
302,6.496966667,0.631616667,0.9336,1.44455,1.835,1.6522
303,6.676983334,0.917216667,0.972233333,1.497266667,1.603516667,1.68675
304,6.244,1.210583333,1.093866667,1.526216667,0.804083333,1.60925
305,6.756749999,1.200866667,1.561583333,1.544333333,0.897833333,1.552133333
306,6.159733334,1.278733333,1.561166667,1.528516667,0.798266667,0.99305
307,5.896316667,1.24045,1.5219,1.538716667,0.6859,0.90935
308,6.379433333,1.287783333,1.47635,1.538616667,0.79355,1.283133333
309,6.431683333,1.288133333,1.149016667,1.5416,0.7177,1.735233333
310,6.770033333,1.316033333,1.668716667,1.541133333,0.528583333,1.715566667
311,8.006816667,1.6532,2.370066667,1.5457,0.5343,1.90355
312,7.21445,1.64675,1.01375,1.543633333,0.932966667,2.07735
313,7.636866666,1.63965,0.917716667,1.541933333,1.014533333,2.523033333
314,8.1776,1.63695,0.82005,1.54345,1.6418,2.53535
315,8.331933334,1.6337,0.7516,1.542966667,1.79935,2.604316667
316,10.01245,1.6305,0.755683333,1.543566667,3.226783333,2.855916667
317,9.0252,1.6271,0.755566667,1.544283333,2.337766667,2.760483333
318,8.056333333,1.622983333,0.891,1.5432,1.581283333,2.417866667
319,7.3597,1.618316667,0.805183333,1.543166667,1.24615,2.146883333
320,6.82645,1.617066667,0.784333333,1.5411,0.748966667,2.134983333
321,6.648416667,1.614116667,0.778716667,1.545466667,0.577633333,2.132483333
322,7.480950001,1.6158,1.442,1.547616667,0.715816667,2.159716667
323,7.670366666,1.615183333,1.72255,1.54345,0.514033333,2.27515
324,7.898233333,1.510233333,1.705483333,1.453316667,0.763016667,2.466183333
325,8.444316667,1.466183333,1.71635,1.351816667,1.019466667,2.8905
326,7.567216667,1.405133333,1.724616667,0.842416667,0.705416667,2.889633333
327,7.127483332,1.359483333,1.721133333,0.84285,0.643233333,2.560783333
328,5.67835,0.84895,1.72065,0.83915,0.642433333,1.627166667
329,5.544416667,0.755716667,1.766566667,0.954266667,0.663633333,1.404233333
330,5.35275,0.7565,1.8681,1.109266667,0.778283333,0.8406
331,6.209616668,0.755066667,2.3483,1.584566667,1.050116667,0.471566667
332,6.952983333,0.88395,2.431416667,1.564333333,1.55105,0.522233333
333,6.942416667,0.760816667,2.3693,1.553266667,1.718983333,0.54005
